from_lang,to_lang,doc_id,from_url,to_url_404
en,vi,budget-alert/delete-budget-alert,/docs/en/budget-alert/delete-budget-alert,/docs/vi/budget-alert/delete-budget-alert
en,vi,budget-alert/edit-budget-alert,/docs/en/budget-alert/edit-budget-alert,/docs/vi/budget-alert/edit-budget-alert
en,vi,budget-alert/initiating-a-budget-alert,/docs/en/budget-alert/initiating-a-budget-alert,/docs/vi/budget-alert/initiating-a-budget-alert
en,vi,budget-alert/pause-budget-alert,/docs/en/budget-alert/pause-budget-alert,/docs/vi/budget-alert/pause-budget-alert
en,vi,budget-alert/setting-budget-alert,/docs/en/budget-alert/setting-budget-alert,/docs/vi/budget-alert/setting-budget-alert
en,vi,budget-alert/view-cost-information,/docs/en/budget-alert/view-cost-information,/docs/vi/budget-alert/view-cost-information
en,vi,cost-explorer/View-dashboards-and-specific-costs-by-service,/docs/en/cost-explorer/View-dashboards-and-specific-costs-by-service,/docs/vi/cost-explorer/View-dashboards-and-specific-costs-by-service
en,vi,cost-explorer/Why-cant-I-watch-Cost-Explore,/docs/en/cost-explorer/Why-cant-I-watch-Cost-Explore,/docs/vi/cost-explorer/Why-cant-I-watch-Cost-Explore
en,vi,cost-explorer/customer-filter,/docs/en/cost-explorer/customer-filter,/docs/vi/cost-explorer/customer-filter
en,vi,cost-explorer/questions-2,/docs/en/cost-explorer/questions-2,/docs/vi/cost-explorer/questions-2
en,vi,create-vpc/create-vpc-en,/docs/en/create-vpc/create-vpc-en,/docs/vi/create-vpc/create-vpc-en
en,vi,create-vpc/initial-setup-en,/docs/en/create-vpc/initial-setup-en,/docs/vi/create-vpc/initial-setup-en
en,vi,create-vpc/rename-vpc-en,/docs/en/create-vpc/rename-vpc-en,/docs/vi/create-vpc/rename-vpc-en
en,vi,create-vpc/view-activity-en,/docs/en/create-vpc/view-activity-en,/docs/vi/create-vpc/view-activity-en
