status,section,docId,in_en,in_vi,in_ja,en_title,vi_title,ja_title
MATCHED,_root,"intro",Y,Y,Y,"FPT Cloud Documentation","Tài liệu FPT Cloud","FPT Cloud ドキュメント"
MATCHED,affinity-anti-affinity,"add-instance-instance-group",Y,Y,Y,"Add Instance to Instance Group","Gắn Instance vào Instance Group","InstanceをInstance Groupに追加"
MATCHED,affinity-anti-affinity,"affinity-anti-affinity",Y,Y,Y,"Affinity & Anti-Affinity Overview","Tổng quan Affinity & Anti-Affinity","Affinity & Anti-Affinity 概要"
MATCHED,affinity-anti-affinity,"create-instance-group",Y,Y,Y,"Create an Instance Group","Khởi tạo Instance Group","Instance Groupの作成"
MATCHED,affinity-anti-affinity,"delete-instance-group",Y,Y,Y,"Delete an Instance Group","Xóa Instance Group","Instance Groupの削除"
MATCHED,affinity-anti-affinity,"initial-setup",Y,Y,Y,"Initial Setup","Thiết lập ban đầu","初期設定"
MATCHED,ai-factory-billing,"add-credits",Y,Y,Y,"Add credits","Nạp credits","クレジットの追加"
MATCHED,ai-factory-billing,"ai-factory-billing",Y,Y,Y,"AI Factory Billing","AI Factory Billing","AI Factory Billing"
MATCHED,ai-factory-billing,"balance",Y,Y,Y,"Balance","Số dư","残高"
MATCHED,ai-factory-billing,"billing-calculation",Y,Y,Y,"Billing calculation","Tính toán billing","課金計算"
MATCHED,ai-factory-billing,"billing-faq",Y,Y,Y,"Billing FAQ","Câu hỏi thường gặp về billing","よくある質問（Billing FAQ）"
MATCHED,ai-factory-billing,"billing-plan",Y,Y,Y,"Billing Plan","Gói billing","課金プラン"
MATCHED,ai-factory-billing,"credit-history",Y,Y,Y,"Credit history","Lịch sử credits","クレジット履歴"
MATCHED,ai-factory-billing,"gpu-container-billing",Y,Y,Y,"GPU Container billing","Billing GPU Container","GPU Container 課金"
MATCHED,ai-factory-billing,"how-to-create-an-user-token",Y,Y,Y,"How To Create An User Token","How To Create An User Token","ユーザートークンの作成方法"
MATCHED,ai-factory-billing,"low-balance-threshold-alert",Y,Y,Y,"Low balance threshold alert","Cảnh báo số dư thấp","低残高しきい値アラート"
MATCHED,ai-factory-billing,"modas-billing",Y,Y,Y,"MoDaS billing","Billing MoDaS","MoDaS 課金"
MATCHED,ai-factory-billing,"model-finetuning-billing",Y,Y,Y,"Model Fine-Tuning billing","Billing Model Fine-Tuning","Model Fine-Tuning 課金"
MATCHED,ai-factory-billing,"model-hub-billing",Y,Y,Y,"Model Hub billing","Billing Model Hub","Model Hub 課金"
MATCHED,ai-factory-billing,"overview",Y,Y,Y,"Overview","Tổng quan","概要"
MATCHED,ai-factory-billing,"payment-invoice",Y,Y,Y,"Payment Invoice","Hóa đơn thanh toán","支払い請求書"
MATCHED,ai-factory-billing,"payment-methods",Y,Y,Y,"Payment methods","Phương thức thanh toán","支払い方法"
MATCHED,ai-factory-billing,"quick-start",Y,Y,Y,"Quick start","Bắt đầu nhanh","クイックスタート"
MATCHED,ai-factory-billing,"redeem-voucher",Y,Y,Y,"Redeem voucher","Đổi voucher","バウチャーの引き換え"
MATCHED,ai-factory-billing,"voucher-list",Y,Y,Y,"Voucher list","Danh sách voucher","バウチャー一覧"
MATCHED,ai-notebook,"about-ai-notebooks",Y,Y,Y,"About AI Notebooks","Giới thiệu AI Notebooks","AI Notebookについて"
MATCHED,ai-notebook,"ai-notebook",Y,Y,Y,"AI Notebook","AI Notebook","Ai Notebook"
MATCHED,ai-notebook,"connect-switch-kernel",Y,Y,Y,"Connect and switch kernel","Kết nối và chuyển kernel","Kernelの接続と切り替え"
MATCHED,ai-notebook,"create-jp",Y,Y,Y,"Create a notebook","Tạo notebook","Notebookの作成"
MATCHED,ai-notebook,"create-notebook",Y,Y,Y,"Create a notebook","Tạo notebook","Notebookの作成"
MATCHED,ai-notebook,"faq",Y,Y,Y,"FAQ","Câu hỏi thường gặp","よくある質問"
MATCHED,ai-notebook,"faq-jp",Y,Y,Y,"FAQ","Câu hỏi thường gặp","よくある質問"
MATCHED,ai-notebook,"get-started-jp",Y,Y,Y,"About AI Notebooks","Giới thiệu AI Notebooks","AI Notebookについて"
MATCHED,ai-notebook,"lauch-jp",Y,Y,Y,"Launch AI Notebook","Khởi chạy AI Notebook","AI Notebookの起動"
