level,label,url,parent
1,FPT Cloud Server,,
2,Tagging,https://fptcloud.com/documents/tagging/,FPT Cloud Server
2,SSO - Single sign-on,https://fptcloud.com/documents/sso-single-sign-on/,FPT Cloud Server
2,Policy Management,https://fptcloud.com/documents/policy-management/,FPT Cloud Server
2,Global Search,https://fptcloud.com/documents/global-search/,FPT Cloud Server
2,FPT Cloud Portal – Pay As You Go,https://fptcloud.com/documents/fpt-cloud-portal-pay-as-you-gofpt-cloud-portal-pay-as-you-go/,FPT Cloud Server
2,FPT Cloud Desktop,https://fptcloud.com/documents/fpt-cloud-desktop/,FPT Cloud Server
2,FPT Autoscale,https://fptcloud.com/documents/fpt-autoscale/,FPT Cloud Server
2,Cloud Server,https://fptcloud.com/documents/cloud-server/,FPT Cloud Server
1,FPT Storage,,
2,FPT Object Storage,https://fptcloud.com/documents/object-storage/,FPT Storage
2,File Storage - High Performance,https://fptcloud.com/documents/file-storage-high-performance/,FPT Storage
1,FPT Network,,
2,VPN Site-to-Site,https://fptcloud.com/documents/vpn-site-to-site-0/,FPT Network
2,Load Balancer,https://fptcloud.com/documents/load-balancer/,FPT Network
2,Create VPC,https://fptcloud.com/documents/create_vpc/,FPT Network
1,FPT Container,,
2,Managed - FPT Kubernetes Engine,https://fptcloud.com/documents/managed-fpt-kubernetes-engine/,FPT Container
2,FPT Kubernetes Engine with GPU,https://fptcloud.com/documents/fpt-kubernetes-engine-with-gpu/,FPT Container
2,FPT Container Registry,https://fptcloud.com/documents/fpt-container-registry-2/,FPT Container
2,Dedicated - FPT Kubernetes Engine,https://fptcloud.com/documents/dedicated-fpt-kubernetes-engine/,FPT Container
1,FPT Security,,
2,IAM,https://fptcloud.com/documents/iam/,FPT Security
2,FPT Cloud WAPPLES,https://fptcloud.com/documents/fpt-cloud-wapples/,FPT Security
2,FPT Cloud WAF,https://fptcloud.com/documents/fpt-cloud-waf/,FPT Security
2,FPT Cloud VA,https://fptcloud.com/documents/fpt-va/,FPT Security
2,Fortigate - FPT NGFW,https://fptcloud.com/documents/fortigate-fpt-ngfw/,FPT Security
2,DdoS Protection,https://fptcloud.com/documents/ddos-protection/,FPT Security
2,CheckPoint - FPT NGFW,https://fptcloud.com/documents/checkpoint-fpt-ngfw/,FPT Security
1,FPT Monitoring,,
2,FPT Reporting,https://fptcloud.com/documents/reporting/,FPT Monitoring
2,FPT Cloud Monitoring,https://fptcloud.com/documents/fpt-cloud-monitoring/,FPT Monitoring
2,FPT Cloud Guard,https://fptcloud.com/documents/cloud-guard/,FPT Monitoring
1,FPT Cloud Backup & DR,,
2,FPT Backup As a Service,https://fptcloud.com/documents/fpt-backup-as-a-service/,FPT Cloud Backup & DR
2,Backup,https://fptcloud.com/documents/backup/,FPT Cloud Backup & DR
1,FPT DevSecOps Services,,
2,FPT Key Vault,https://fptcloud.com/documents/fpt-key-vault/,FPT DevSecOps Services
2,FPT Jenkins CI,https://fptcloud.com/documents/fpt-jenkins-ci/,FPT DevSecOps Services
2,FPT ArgoCD,https://fptcloud.com/documents/fpt-argocd-3/,FPT DevSecOps Services
1,FPT Integration,,
2,FPT API Management,https://fptcloud.com/documents/fpt-api-management/,FPT Integration
1,FPT Database Engine,,
2,Managed - FPT Database Engines,https://fptcloud.com/documents/managed-fpt-database-engines-new/,FPT Database Engine
1,Support,,
2,Zalo ticket support,https://fptcloud.com/documents/zalo-ticket-support/,Support
2,Trellix Customer Guide,https://fptcloud.com/documents/trellix-customer-guide/,Support
2,Request Resource,https://fptcloud.com/documents/end-user-request-resource/,Support
1,Billing,,
2,Cost Explorer,https://fptcloud.com/documents/cost-explorer/,Billing
2,Budget Alert,https://fptcloud.com/documents/budget-alert/,Billing
2,Bills,https://fptcloud.com/documents/billing/,Billing
1,FPT Security Platform,,
2,FPT AppSec,https://fptcloud.com/documents/fpt-appsec/,FPT Security Platform
1,FPT Data Platform,,
2,FPT Data Platform,https://fptcloud.com/documents/fpt-data-platform/,FPT Data Platform
1,FPT AI Factory,https://fptcloud.com/tai-lieu-fpt-ai-factory/,
1,Câu hỏi thường gặp,https://fptcloud.com/faq/,
