level,label,url,parent
1,FPT Cloud Server,,
2,Tagging,https://fptcloud.com/documents/tagging/,FPT Cloud Server
3,Initial Setup,,Tagging
4,Initial Setup,https://fptcloud.com/documents/tagging/?doc=initial-setup,Initial Setup
3,Hướng dẫn nhanh (Quick Starts),,Tagging
4,Khởi tạo một tag mới,https://fptcloud.com/documents/tagging/?doc=create-tag-new,Hướng dẫn nhanh (Quick Starts)
4,Chỉnh sửa tag,https://fptcloud.com/documents/tagging/?doc=edit-tag,Hướng dẫn nhanh (Quick Starts)
4,Xóa tag đã tạo,https://fptcloud.com/documents/tagging/?doc=delete-tag,Hướng dẫn nhanh (Quick Starts)
3,Hướng dẫn chi tiết (Tutorials),,Tagging
4,Manage tag to Resource,https://fptcloud.com/documents/tagging/?doc=resource-1,Hướng dẫn chi tiết (Tutorials)
5,Manage tag to Instance Management,https://fptcloud.com/documents/tagging/?doc=tags-instance,Manage tag to Resource
5,Manage tag to Storage disk,https://fptcloud.com/documents/tagging/?doc=tags-storage-disk,Manage tag to Resource
5,Manage tag to Snapshot,https://fptcloud.com/documents/tagging/?doc=tags-snapshot,Manage tag to Resource
5,Manage tag to Custom image,https://fptcloud.com/documents/tagging/?doc=tags-custom-image,Manage tag to Resource
5,Manage tag to Floating IP,https://fptcloud.com/documents/tagging/?doc=tags-floating-ip,Manage tag to Resource
5,Manage tag to Subnet,https://fptcloud.com/documents/tagging/?doc=tags-subnet,Manage tag to Resource
5,Manage tag to Security group,https://fptcloud.com/documents/tagging/?doc=tags-security-group,Manage tag to Resource
5,Manage tag to classic load balancer,https://fptcloud.com/documents/tagging/?doc=tagg-lb,Manage tag to Resource
4,Tagging Billing,https://fptcloud.com/documents/tagging/?doc=tagging-billing,Hướng dẫn chi tiết (Tutorials)
2,SSO - Single sign-on,https://fptcloud.com/documents/sso-single-sign-on/,FPT Cloud Server
3,Overviews,,SSO - Single sign-on
4,Overview,https://fptcloud.com/documents/sso-single-sign-on/?doc=overview,Overviews
3,Hướng dẫn nhanh (Quick Starts),,SSO - Single sign-on
4,Cấu hình SSO,https://fptcloud.com/documents/sso-single-sign-on/?doc=config-sso,Hướng dẫn nhanh (Quick Starts)
