lang,file,line,ref
vi,docs-vi/affinity-anti-affinity/add-instance-instance-group.md,19,/img/migrated/image-1705025405311-fa794fe3.png
vi,docs-vi/affinity-anti-affinity/add-instance-instance-group.md,25,/img/migrated/image-1705025498532-8edf7a7b.png
vi,docs-vi/affinity-anti-affinity/create-instance-group.md,19,/img/migrated/image-1705024581953-a55d4346.png
vi,docs-vi/affinity-anti-affinity/create-instance-group.md,25,/img/migrated/image-1705024842925-f64a0e6f.png
vi,docs-vi/affinity-anti-affinity/create-instance-group.md,31,/img/migrated/image-1705024897223-9b650495.png
vi,docs-vi/affinity-anti-affinity/delete-instance-group.md,17,/img/migrated/image-1705025148984-2af9c584.png
vi,docs-vi/affinity-anti-affinity/delete-instance-group.md,21,/img/migrated/image-1705025187846-59abb769.png
vi,docs-vi/ai-factory-billing/add-credits.md,14,/img/migrated/image2025-6-22_11-49-23-c0ffac4e.png
vi,docs-vi/ai-factory-billing/add-credits.md,15,/img/migrated/image2025-7-6_17-32-55-29e3537a.png
vi,docs-vi/ai-factory-billing/add-credits.md,21,/img/migrated/image2025-7-6_17-34-54-77174d1a.png
vi,docs-vi/ai-factory-billing/add-credits.md,21,/img/migrated/image2025-8-10_11-23-14-86accd6e.png
vi,docs-vi/ai-factory-billing/add-credits.md,22,/img/migrated/Picture1-1-9f3038ad.png
vi,docs-vi/ai-factory-billing/add-credits.md,23,/img/migrated/image2025-6-28_12-17-42-eecb0352.png
vi,docs-vi/ai-factory-billing/balance.md,15,/img/migrated/image2025-6-28_21-29-54-7c6b5942.png
vi,docs-vi/ai-factory-billing/credit-history.md,11,/img/migrated/image2025-6-30_14-3-28-f7bf8b4c.png
vi,docs-vi/ai-factory-billing/credit-history.md,11,/img/migrated/image2025-6-30_14-4-25-da425d96.png
vi,docs-vi/ai-factory-billing/how-to-create-an-user-token.md,4,"/img/migrated/imag""
sidebar_label: ""How To Create An...""
sidebar_position: ""4""
---

# How To Create An User Token

## Step 1: Create user token
  * Access Token service at <https://ai.fptcloud.com/> and click button ""**Create New Token** "" ![file](/img/migrated/image-1760341748499-2ab11f23.png"
vi,docs-vi/ai-factory-billing/how-to-create-an-user-token.md,13,/img/migrated/image-1760341777314-c998e416.png
vi,docs-vi/ai-factory-billing/payment-invoice.md,24,/img/migrated/image2025-9-10_10-48-26-ae626517.png
vi,docs-vi/ai-factory-billing/payment-invoice.md,34,/img/migrated/image2025-9-8_23-26-45-eef4a774.png
vi,docs-vi/ai-factory-billing/payment-invoice.md,49,/img/migrated/image2025-9-10_10-54-3-b3bee087.png
vi,docs-vi/ai-factory-billing/redeem-voucher.md,24,/img/migrated/image2025-6-30_13-37-5-94c9066a.png
vi,docs-vi/ai-factory-billing/redeem-voucher.md,25,/img/migrated/image2025-6-30_13-56-37-f36f6894.png
vi,docs-vi/ai-factory-billing/voucher-list.md,11,/img/migrated/image2025-6-30_13-58-14-129e2e07.png
vi,docs-vi/ai-notebook/connect-switch-kernel.md,28,/img/migrated/image-6-dd343caf.png
vi,docs-vi/ai-notebook/create-jp.md,11,/img/migrated/Screenshot-2025-09-24-at-15.45.42-0c7fedab.png
vi,docs-vi/ai-notebook/create-jp.md,37,/img/migrated/worddavcbde47ee263356d9fcbb156662265af0-2f05a191.png
vi,docs-vi/ai-notebook/create-notebook.md,11,/img/migrated/Screenshot-2025-09-24-at-15.45.42-9e710eed.png
vi,docs-vi/ai-notebook/create-notebook.md,35,/img/migrated/image-6-dd343caf.png
vi,docs-vi/ai-notebook/lauch-jp.md,13,/img/migrated/worddavdaac2e493a386a877fe5a19fab86a552-8d1e03ba.png
vi,docs-vi/ai-notebook/lauch-jp.md,17,/img/migrated/image-3-1-2c056774.png
vi,docs-vi/ai-notebook/lauch-jp.md,23,/img/migrated/worddavb7138276623cb606022343836db461c8-5f6816ad.png
vi,docs-vi/ai-notebook/launch-ai-notebook.md,13,/img/migrated/Screenshot-2025-09-23-at-00.09.41-63c1169b.png
vi,docs-vi/ai-notebook/launch-ai-notebook.md,17,/img/migrated/image-1-a9094741.png
vi,docs-vi/ai-notebook/launch-ai-notebook.md,23,/img/migrated/Screenshot-2025-09-22-at-23.03.54-468257d4.png
