lang,file,line,ref,text
vi,docs-vi/ai-factory-billing/add-credits.md,14,/img/migrated/image2025-6-22_11-49-23-c0ffac4e.png,![Alt text
vi,docs-vi/ai-factory-billing/add-credits.md,15,/img/migrated/image2025-7-6_17-32-55-29e3537a.png,![Alt text
vi,docs-vi/ai-factory-billing/add-credits.md,21,/img/migrated/image2025-7-6_17-34-54-77174d1a.png,![Alt text
vi,docs-vi/ai-factory-billing/add-credits.md,21,/img/migrated/image2025-8-10_11-23-14-86accd6e.png,![Alt text
vi,docs-vi/ai-factory-billing/add-credits.md,22,/img/migrated/Picture1-1-9f3038ad.png,![Alt text
vi,docs-vi/ai-factory-billing/add-credits.md,23,/img/migrated/image2025-6-28_12-17-42-eecb0352.png,![Alt text
vi,docs-vi/ai-factory-billing/balance.md,15,/img/migrated/image2025-6-28_21-29-54-7c6b5942.png,![Alt text
vi,docs-vi/ai-factory-billing/credit-history.md,11,/img/migrated/image2025-6-30_14-3-28-f7bf8b4c.png,![Alt text
vi,docs-vi/ai-factory-billing/credit-history.md,11,/img/migrated/image2025-6-30_14-4-25-da425d96.png,![Alt text
vi,docs-vi/ai-factory-billing/redeem-voucher.md,24,/img/migrated/image2025-6-30_13-37-5-94c9066a.png,![Alt text
vi,docs-vi/ai-factory-billing/redeem-voucher.md,25,/img/migrated/image2025-6-30_13-56-37-f36f6894.png,![Alt text
vi,docs-vi/ai-factory-billing/voucher-list.md,11,/img/migrated/image2025-6-30_13-58-14-129e2e07.png,![Alt text
vi,docs-vi/ai-notebook/connect-switch-kernel.md,28,/img/migrated/image-6-dd343caf.png,![Hộp thoại xác nhận chọn GPU kernel
vi,docs-vi/ai-notebook/create-jp.md,11,/img/migrated/Screenshot-2025-09-24-at-15.45.42-0c7fedab.png,![Màn hình phần Notebook trong Launcher
vi,docs-vi/ai-notebook/create-jp.md,37,/img/migrated/worddavcbde47ee263356d9fcbb156662265af0-2f05a191.png,![Pop-up xác nhận GPU notebook
vi,docs-vi/ai-notebook/create-notebook.md,11,/img/migrated/Screenshot-2025-09-24-at-15.45.42-9e710eed.png,![Giao diện AI Notebook Launcher hiển thị các tùy 
vi,docs-vi/ai-notebook/create-notebook.md,35,/img/migrated/image-6-dd343caf.png,![Hộp thoại xác nhận khi tạo notebook GPU
vi,docs-vi/ai-notebook/lauch-jp.md,13,/img/migrated/worddavdaac2e493a386a877fe5a19fab86a552-8d1e03ba.png,![Mục AI Notebook trong menu điều hướng bên trái F
vi,docs-vi/ai-notebook/lauch-jp.md,17,/img/migrated/image-3-1-2c056774.png,![Nút Open AI Notebook hiển thị sau khi notebook s
vi,docs-vi/ai-notebook/lauch-jp.md,23,/img/migrated/worddavb7138276623cb606022343836db461c8-5f6816ad.png,![Giao diện JupyterLab Launcher với các tùy chọn n
vi,docs-vi/ai-notebook/launch-ai-notebook.md,13,/img/migrated/Screenshot-2025-09-23-at-00.09.41-63c1169b.png,![Mục AI Notebook trong thanh điều hướng bên trái 
vi,docs-vi/ai-notebook/launch-ai-notebook.md,17,/img/migrated/image-1-a9094741.png,![Nút Open AI Notebook hiển thị sau khi notebook s
vi,docs-vi/ai-notebook/launch-ai-notebook.md,23,/img/migrated/Screenshot-2025-09-22-at-23.03.54-468257d4.png,![Giao diện JupyterLab Launcher với các tùy chọn n
vi,docs-vi/ai-notebook/shut-down-jp.md,13,/img/migrated/Screenshot-2025-11-04-at-13.33.53-e1094d92.png,![Biểu tượng Running Kernels/Notebooks trong thanh
vi,docs-vi/ai-notebook/shut-down-jp.md,41,/img/migrated/Screenshot-2025-11-04-at-14.12.39-28c73e36.png,![Bảng lịch sử kernel hiển thị thời gian và dữ liệ
vi,docs-vi/ai-notebook/shut-down-kernel.md,13,/img/migrated/Screenshot-2025-11-04-at-13.33.53-8b5ebeba.png,![Biểu tượng Running Kernels/Notebooks trong thanh
vi,docs-vi/ai-notebook/shut-down-kernel.md,43,/img/migrated/Screenshot-2025-11-04-at-14.12.39-862af5d2.png,![Bảng Kernel History hiển thị dữ liệu duration và
vi,docs-vi/ai-notebook/switch.md,13,/img/migrated/worddav6371362747fec3bad8be91cf1e057a7c-0bc7f485.png,![Màn hình kernel configuration menu trong AI Note
vi,docs-vi/ai-notebook/switch.md,29,/img/migrated/worddavcbde47ee263356d9fcbb156662265af0-2f05a191.png,![Màn hình pop-up xác nhận chọn GPU kernel
vi,docs-vi/ai_marketplace/balance.md,13,/img/migrated/Picture17-4af9c4e0.png,![Số dư credit hiển thị ở đầu thanh điều hướng hea
vi,docs-vi/ai_marketplace/billing.md,15,/img/migrated/1-1-29c4dda0.png,![Dropdown My account hiển thị tùy chọn Add to cre
vi,docs-vi/ai_marketplace/billing.md,19,/img/migrated/2-b02ccb07.png,![Trang bảng giá AI Marketplace Model as a service
vi,docs-vi/ai_marketplace/billing.md,23,/img/migrated/3-973418ce.png,![Hộp thoại mua credit với các mức tiền gợi ý và ô
vi,docs-vi/ai_marketplace/billing.md,27,/img/migrated/image-1742892528929-dc30d234.png,![Trang thanh toán VNPay với mã QR và tùy chọn tha
vi,docs-vi/ai_marketplace/billing.md,31,/img/migrated/image-1742892550518-3a6ee216.png,![Trang Credit History hiển thị các giao dịch nạp 
vi,docs-vi/ai_marketplace/contact-us.md,13,/img/migrated/Screenshot-2025-06-30-at-23.36.09-295a2e52.png,![Biểu mẫu pop-up Contact Us có thể truy cập từ me
vi,docs-vi/ai_marketplace/home-page.md,13,/img/migrated/Thiet-ke-chua-co-ten-1-a38619c7.png,![Trang chủ AI Marketplace hiển thị các thẻ mô hìn
vi,docs-vi/ai_marketplace/my-account.md,21,/img/migrated/0-fb82a997.png,![Biểu tượng tài khoản trong thanh điều hướng head
vi,docs-vi/ai_marketplace/my-account.md,27,/img/migrated/my-api-key-02299856.png,![Trang My API Keys liệt kê tất cả API key cùng tr
