slug,module,web_words,doc_words,content_status,images_status,web_images,doc_images,headings_match_pct,tables_status,web_tables,doc_tables,aggregated,local_files,missing_headings
%20choose-the-form-of-PAYG-and-verify-the-phon-%20number,FPT Cloud Portal – Pay As You Go,0,0,missing,none,2,0,0,n/a,0,0,False,,
Allow-IP-CIDR,Load Balancer,361,374,full,n/a,0,0,100,n/a,0,0,False,load-balancer/Allow-IP-CIDR.md,
AutoScale,Dedicated - FPT Kubernetes Engine,245,269,full,n/a,0,0,100,n/a,0,0,False,dedicated-fpt-kubernetes-engine/AutoScale.md,
Backup-Initial-Setup,Backup,75,208,full,n/a,0,0,50,n/a,0,0,False,backup/Backup-Initial-Setup.md,h2: 1\. Điều kiện cần có; h2: 2\. Bắt đầu sử dụng
Ch%E1%BB%89nh%20s%E1%BB%ADa%20Budget%20Alert,Budget Alert,0,123,full,full,2,2,100,n/a,0,0,False,budget-alert/Chỉnh sửa Budget Alert.md,
Chi%20ti%E1%BA%BFt%20d%E1%BB%8Bch%20v%E1%BB%A5,FPT Backup As a Service,432,545,full,n/a,0,0,100,n/a,0,0,False,fpt-backup-as-a-service/Chi tiết dịch vụ.md,
Create-VPN-S2S-connection,VPN Site-to-Site,322,256,full,full,3,3,100,n/a,0,1,False,vpn-site-to-site/Create-VPN-S2S-connection.md,
FAQ,Fortigate - FPT NGFW,465,538,full,full,1,1,100,n/a,0,0,False,fortigate-fpt-ngfw/FAQ.md,
FQAs,Cloud Server,72,85,full,n/a,0,0,100,n/a,0,0,False,cloud-server/FQAs.md,
GPU,Cloud Server,141,126,full,n/a,0,0,100,n/a,0,0,False,cloud-server/GPU.md,
IAM-User-Overview,IAM,236,193,full,n/a,0,0,100,n/a,0,0,False,iam/IAM-User-Overview.md,
Initial%20Setup,FPT Key Vault,83,174,full,n/a,0,0,100,n/a,0,0,False,fpt-key-vault/Initial Setup.md,
Initial-Setup,FPT Cloud Guard,179,209,full,n/a,0,0,100,n/a,0,0,False,cloud-guard/Initial-Setup.md,
Initial-setup,Managed GPU Cluster (Kubernetes),542,580,full,full,5,5,100,n/a,0,0,False,fpt-managed-gpu-cluster/Initial-setup.md,
Kh%E1%BB%9Fi%20t%E1%BA%A1o%20Bugdet%20Alert,Budget Alert,497,503,full,full,6,6,100,n/a,0,0,False,budget-alert/Khởi tạo Bugdet Alert.md,
Migration-cho-SQLServer,Managed - FPT Database Engines,302,403,full,full,15,15,100,n/a,0,0,False,managed-fpt-database-engines-new/Migration-cho-SQLServer.md,
