slug,module,category,localFile,high,medium,low,total_issues,issue_types,web_words_adj,doc_words,word_gap_pct,web_imgs_adj,doc_imgs
gateway,Cloud Server,FPT Cloud Server,cloud-server/gateway.md,3,2,0,5,"HEADING_COUNT_DIFF, MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",1715,68,96%,21,0
quan-ly-security-group,Cloud Server,FPT Cloud Server,cloud-server/quan-ly-security-group.md,3,1,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",1590,97,94%,21,0
Initial-Setup,Cloud Server,FPT Cloud Server,cloud-guard/Initial-Setup.md,3,1,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",1533,139,91%,14,0
quan-ly-floating-ip,Cloud Server,FPT Cloud Server,cloud-server/quan-ly-floating-ip.md,3,1,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",1171,187,84%,13,0
security-group-filter,Cloud Server,FPT Cloud Server,cloud-server/security-group-filter.md,3,0,0,3,"MISSING_HEADINGS, NO_IMAGES, WORD_COUNT_LOW",938,75,92%,6,0
security-group-priority-rule,Cloud Server,FPT Cloud Server,cloud-server/security-group-priority-rule.md,3,1,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",950,89,91%,8,0
new-quota,Cloud Server,FPT Cloud Server,cloud-server/new-quota.md,3,1,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",897,84,91%,7,0
change-network-config,Cloud Server,FPT Cloud Server,cloud-server/change-network-config.md,3,1,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",992,221,78%,26,0
header-project,Cloud Server,FPT Cloud Server,cloud-server/header-project.md,3,1,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",709,47,93%,10,0
quan-ly-project,Cloud Server,FPT Cloud Server,cloud-server/quan-ly-project.md,3,1,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",689,47,93%,9,0
Initial-setup,Managed - FPT Kubernetes Engine,FPT Container,fpt-jenkins-ci/Initial-setup.md,3,1,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",683,122,82%,8,0
FAQ,Fortigate - FPT NGFW,FPT Security,ai_marketplace/FAQ.md,3,1,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",557,135,76%,4,0
cicd-guideline,FPT AppSec,FPT Security Platform,fpt-appsec/cicd-guideline.md,2,1,1,4,"FEWER_IMAGES, FEWER_TABLES, MISSING_HEADINGS, WORD_COUNT_LOW",2425,387,84%,4,1
SDK-API-Reference,FPT Object Storage,FPT Storage,fpt-object-storage/SDK-API-Reference.md,2,2,0,4,"HEADING_COUNT_DIFF, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",1903,432,77%,4,0
tutorials-backup-may-chu-voi-snapshot,Cloud Server,FPT Cloud Server,cloud-server/tutorials-backup-may-chu-voi-snapshot.md,2,2,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",1495,329,78%,26,21
dich-vu-gpu-tren-k8s,Managed - FPT Kubernetes Engine,FPT Container,managed-fpt-kubernetes-engine/dich-vu-gpu-tren-k8s.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",1285,139,89%,8,0
workspace-scmasset,FPT AppSec,FPT Security Platform,fpt-appsec/workspace-scmasset.md,2,2,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",1702,648,62%,27,24
hpc-quick-start,Cloud Server,FPT Cloud Server,cloud-server/hpc-quick-start.md,2,2,0,4,"HEADING_COUNT_DIFF, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",1124,113,90%,12,0
mysql-troubleshooting,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/mysql-troubleshooting.md,2,2,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",2105,1108,47%,8,0
allow-address-pair,Cloud Server,FPT Cloud Server,cloud-server/allow-address-pair.md,2,1,1,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",983,100,90%,26,0
tutorials-ket-noi-vao-may-ao-linux,Cloud Server,FPT Cloud Server,cloud-server/tutorials-ket-noi-vao-may-ao-linux.md,2,2,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",1077,228,79%,13,8
gpu-specific,Cloud Server,FPT Cloud Server,cloud-server/gpu-specific.md,2,2,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",1077,240,78%,7,2
gpu-general,Cloud Server,FPT Cloud Server,cloud-server/gpu-general.md,2,2,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",1085,268,75%,12,7
service-type-load-balancer,Managed - FPT Kubernetes Engine,FPT Container,dedicated-fpt-kubernetes-engine/service-type-load-balancer.md,2,1,1,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",1035,227,78%,5,0
hpc-fixed-rental,Cloud Server,FPT Cloud Server,cloud-server/hpc-fixed-rental.md,2,1,0,3,"HEADING_COUNT_DIFF, NO_IMAGES, WORD_COUNT_LOW",998,222,78%,7,0
profile-ssh-key,Cloud Server,FPT Cloud Server,cloud-server/profile-ssh-key.md,2,2,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",852,114,87%,10,1
networking-overview,Cloud Server,FPT Cloud Server,cloud-server/networking-overview.md,2,1,1,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",781,66,92%,5,0
tutorials-object,FPT Object Storage,FPT Storage,fpt-object-storage/tutorials-object.md,2,1,0,3,"MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",1038,331,68%,4,6
NIC-overview-1,Cloud Server,FPT Cloud Server,cloud-server/NIC-overview-1.md,2,1,1,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",774,72,91%,5,0
network-all,Cloud Server,FPT Cloud Server,cloud-server/network-all.md,2,1,1,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",783,83,89%,5,0
dieu-chinh-cau-hinh-coredns-trong-kubernetes-service,Managed - FPT Kubernetes Engine,FPT Container,managed-fpt-kubernetes-engine/dieu-chinh-cau-hinh-coredns-trong-kubernetes-service.md,2,2,0,4,"HEADING_COUNT_DIFF, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",1016,322,68%,5,0
overview-nic,Cloud Server,FPT Cloud Server,cloud-server/overview-nic.md,2,1,1,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",775,88,89%,5,0
schedule-overview,Cloud Server,FPT Cloud Server,cloud-server/schedule-overview.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",693,32,95%,5,0
instance-schedule,Cloud Server,FPT Cloud Server,cloud-server/instance-schedule.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",691,35,95%,5,0
terraform,Cloud Server,FPT Cloud Server,cloud-server/terraform.md,2,1,0,3,"MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",994,361,64%,27,25
instance-group,Cloud Server,FPT Cloud Server,cloud-server/instance-group.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",681,50,93%,5,0
thuc-hien-dat-lich-snapshot-pvc,Managed - FPT Kubernetes Engine,FPT Container,managed-fpt-kubernetes-engine/thuc-hien-dat-lich-snapshot-pvc.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",857,228,73%,5,0
benchmark-sysbench,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/benchmark-sysbench.md,2,2,1,5,"FEWER_TABLES, HEADING_COUNT_DIFF, MISSING_HEADINGS, NO_IMAGES, WORD_COUNT_LOW",1098,485,56%,8,0
overview-affinity,Cloud Server,FPT Cloud Server,cloud-server/overview-affinity.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",677,81,88%,5,0
GPU,Cloud Server,FPT Cloud Server,cloud-server/GPU.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",682,87,87%,5,0
hpc-hardware-fixation,Cloud Server,FPT Cloud Server,cloud-server/hpc-hardware-fixation.md,2,2,0,4,"HEADING_COUNT_DIFF, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",670,82,88%,8,0
edit-instance-group-specific,Cloud Server,FPT Cloud Server,cloud-server/edit-instance-group-specific.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",630,44,93%,7,0
