slug,module,category,url,high,medium,low,total_issues,issue_types,web_words,doc_words
faq,FPT Cloud Desktop,FPT Cloud Server,,3,2,0,5,"HEADING_COUNT_DIFF, MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
gateway,Cloud Server,FPT Cloud Server,,3,2,0,5,"HEADING_COUNT_DIFF, MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
header-project,Cloud Server,FPT Cloud Server,,3,2,0,5,"HEADING_COUNT_DIFF, MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
benchmark-sysbench,Managed - FPT Database Engines,FPT Database Engine,,3,1,1,5,"FEWER_TABLES, HEADING_COUNT_DIFF, MISSING_HEADINGS, NO_IMAGES, WORD_COUNT_LOW",,
Initial-Setup,Cloud Server,FPT Cloud Server,,3,1,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
NIC-overview-1,Cloud Server,FPT Cloud Server,,3,1,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
overview-nic,Cloud Server,FPT Cloud Server,,3,1,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
change-network-config,Cloud Server,FPT Cloud Server,,3,1,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
quan-ly-floating-ip,Cloud Server,FPT Cloud Server,,3,1,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
allow-address-pair,Cloud Server,FPT Cloud Server,,3,1,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
quan-ly-security-group,Cloud Server,FPT Cloud Server,,3,1,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
security-group-priority-rule,Cloud Server,FPT Cloud Server,,3,1,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
quan-ly-project,Cloud Server,FPT Cloud Server,,3,1,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
new-quota,Cloud Server,FPT Cloud Server,,3,1,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
tutorials-permissions,FPT Object Storage,FPT Storage,,3,1,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
Initial-setup,Managed - FPT Kubernetes Engine,FPT Container,,3,1,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
service-type-load-balancer,Managed - FPT Kubernetes Engine,FPT Container,,3,1,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
FAQ,Fortigate - FPT NGFW,FPT Security,,3,1,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
deployment-model,Managed - FPT Database Engines,FPT Database Engine,,3,1,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
network-connectivity,Managed - FPT Database Engines,FPT Database Engine,,3,1,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
maintenance,Managed - FPT Database Engines,FPT Database Engine,,3,1,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
mysql-troubleshooting,Managed - FPT Database Engines,FPT Database Engine,,3,1,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
