slug,module,category,web_url
create-tag-new,Tagging,,
edit-tag,Tagging,,
delete-tag,Tagging,,
resource-1,Tagging,,
tags-instance,Tagging,,
tags-storage-disk,Tagging,,
tags-snapshot,Tagging,,
tags-custom-image,Tagging,,
tags-floating-ip,Tagging,,
tags-subnet,Tagging,,
tags-security-group,Tagging,,
tagg-lb,Tagging,,
tagging-billing,Tagging,,
create-overview-policy,Policy Management,,
apply-policy,Policy Management,,
edit-policy,Policy Management,,
disable-policy,Policy Management,,
enable-policy,Policy Management,,
global-search-phase-1,Global Search,,
%20choose-the-form-of-PAYG-and-verify-the-phon-%20number,FPT Cloud Portal – Pay As You Go,,
overview-fcd,FPT Cloud Desktop,,
SSO-qua-FCDClient-moi,FPT Cloud Desktop,,
SSO-qua-web-browser,FPT Cloud Desktop,,
accountpassword-qua-web-browser,FPT Cloud Desktop,,
attach-policy-vao-group,FPT Autoscale,,
detach-policy-khoi-group,FPT Autoscale,,
tutorials-xoa-may-ao,Cloud Server,,
create-card-NIC-%20Primary,Cloud Server,,
add-card-NIC-%20new,Cloud Server,,
Qu%E1%BA%A3n%20l%C3%BD%20Subnets,Cloud Server,,
tutorials-su-dung-object-storage-tren-s3-client,FPT Object Storage,,
tutorials-tich-hop-fpt-object-storage-voi-cac-s3-client,FPT Object Storage,,
su-dung-fpt-object-storage-lam-media-server-luu-tru-va-phan-phoi-media-file-cho-websiteweb-application,FPT Object Storage,,
mount-bucket-thanh-o-dia-tren-may-local,FPT Object Storage,,
clone-du-lieu-giua-hai-bucket-khac-nhau,FPT Object Storage,,
S%E1%BB%AD%20d%E1%BB%A5ng%20File%20Storage%20-%20High%20Performance%20tr%C3%AAn%20Kubernetes%20(K8S%20Cluster),File Storage - High Performance,,
Create-VPN-S2S-connection,VPN Site-to-Site,,
view-VPN-detail-information,VPN Site-to-Site,,
disable-VPN-S2S-connection,VPN Site-to-Site,,
enable-VPN-S2S-connection,VPN Site-to-Site,,
edit-VPN-S2S-information,VPN Site-to-Site,,
download-config-VPN-S2S,VPN Site-to-Site,,
delete-VPN-S2S-connection,VPN Site-to-Site,,
VPN-S2S-check-activity-logs,VPN Site-to-Site,,
common-config,VPN Site-to-Site,,
connect-palo-alto,VPN Site-to-Site,,
connect-fci-fortigate,VPN Site-to-Site,,
xoa-vpn-connection,VPN Site-to-Site,,
create-customergw,VPN Site-to-Site,,
edit-customergw,VPN Site-to-Site,,
delete-customergw,VPN Site-to-Site,,
service-authorization,VPN Site-to-Site,,
set_alert,VPN Site-to-Site,,
logging,VPN Site-to-Site,,
Initial%20Setup,Load Balancer,,
quan-ly-load-balancer,Load Balancer,,
tich-hop-fmon,Load Balancer,,
quan-ly-listener,Load Balancer,,
quan-ly-server-pool,Load Balancer,,
manage-load-balancer,Load Balancer,,
khoi%20tao%20mot%20load%20balancer%20moi,Load Balancer,,
them%20may%20ao%20vao%20load%20balancer,Load Balancer,,
xoa%20may%20ao%20khoi%20load%20balancer,Load Balancer,,
thay%20doi%20thong%20tin%20cau%20hinh%20load%20balancer,Load Balancer,,
xoa%20load%20balancer,Load Balancer,,
ssl-load-balancer,Load Balancer,,
tao%20import%20ssl%20certificate,Load Balancer,,
xem%20thong%20tin%20chi%20tiet%20ssl%20certificate,Load Balancer,,
create-vpc,Create VPC,,
rename-vpc,Create VPC,,
activitylog-bell,Create VPC,,
khoi-ta%CC%A3o-kubernetes-cluster-moi,Managed - FPT Kubernetes Engine,,
xem-danh-sach-kubernetes-cluster-da-tao,Managed - FPT Kubernetes Engine,,
truy-cap-thong-tin-chi-tiet-cua-cluster,Managed - FPT Kubernetes Engine,,
tinh-nang-rotate-kubeconfig,Managed - FPT Kubernetes Engine,,
thay-doi-cluster-endponit-access,Managed - FPT Kubernetes Engine,,
thay-doi-cau-hinh-internal-subnet-load-balancer,Managed - FPT Kubernetes Engine,,
chinh-sua-label-taint-cho-worker-group,Managed - FPT Kubernetes Engine,,
bat-tat-node-auto-repair,Managed - FPT Kubernetes Engine,,
chuyen-worker-group-base,Managed - FPT Kubernetes Engine,,
trien-khai-ung-dung-tren-worker-pool,Managed - FPT Kubernetes Engine,,
scale-in-chi-dinh-node,Managed - FPT Kubernetes Engine,,
tinh-nang-hibernate-wakeup,Managed - FPT Kubernetes Engine,,
tinh-nang-dat-lich-hibernate-wake-up,Managed - FPT Kubernetes Engine,,
tu-dong-nang-cap-version,Managed - FPT Kubernetes Engine,,
gioi-thieu-chung-ve-quy-trinh-quan-ly-version,Managed - FPT Kubernetes Engine,,
huong-dan-chi-tiet-su-dung-auto-upgrade,Managed - FPT Kubernetes Engine,,
fpt-cloud-managed-kubernetes-release-calendar,Managed - FPT Kubernetes Engine,,
tinh-nang-tang-cuong-bao-mat-mfke,Managed - FPT Kubernetes Engine,,
tinh-nang-benchmark-cluster,Managed - FPT Kubernetes Engine,,
tinh-nang-runtime-security-cluster,Managed - FPT Kubernetes Engine,,
tinh-nang-workload-scan,Managed - FPT Kubernetes Engine,,
audit-log-vn,Managed - FPT Kubernetes Engine,,
danh-tag-cho-vm,Managed - FPT Kubernetes Engine,,
backup-restore-vn,Managed - FPT Kubernetes Engine,,
cac-luu-y-khi-su-dung-m-fke,Managed - FPT Kubernetes Engine,,
mfke-faqs,Managed - FPT Kubernetes Engine,,
gpu-la-gi,Managed - FPT Kubernetes Engine,,
tai-sao-nen-su-dung-gpu-tren-cloud,Managed - FPT Kubernetes Engine,,
tai-sao-nen-su-dung-gpu-tren-kubernetes,Managed - FPT Kubernetes Engine,,
dich-vu-gpu-tren-k8s,Managed - FPT Kubernetes Engine,,
dieu-chinh-cau-hinh-coredns-trong-kubernetes-service,Managed - FPT Kubernetes Engine,,
snapshot-v%C3%A0-restore-pvc-tr%C3%AAn-k8s-fpt,Managed - FPT Kubernetes Engine,,
snapshot-persistent-volume-tren-k8s,Managed - FPT Kubernetes Engine,,
restore-persistent-volume-tren-k8s,Managed - FPT Kubernetes Engine,,
thuc-hien-dat-lich-snapshot-pvc,Managed - FPT Kubernetes Engine,,
thuc-hien-dat-lich-xoa-pvc-snapshot,Managed - FPT Kubernetes Engine,,
cau-hinh-proxy-protocol,Managed - FPT Kubernetes Engine,,
cau-hinh-proxy-protocol-cho-istio-ingress,Managed - FPT Kubernetes Engine,,
cau-hinh-proxy-protocol-cho-nginx-ingress,Managed - FPT Kubernetes Engine,,
service-type-kb-layer7-lbv2,Managed - FPT Kubernetes Engine,,
thay-doi-cau-hinh-flavor-cua-worker-pool,Managed - FPT Kubernetes Engine,,
tao-moi-robot-account,FPT Container Registry,,
scan-image-1,FPT Container Registry,,
