slug,module,category,web_url
global-search-phase-1,Global Search,,
%20choose-the-form-of-PAYG-and-verify-the-phon-%20number,FPT Cloud Portal – Pay As You Go,,
overview-fcd,FPT Cloud Desktop,,
SSO-qua-FCDClient-moi,FPT Cloud Desktop,,
SSO-qua-web-browser,FPT Cloud Desktop,,
accountpassword-qua-web-browser,FPT Cloud Desktop,,
attach-policy-vao-group,FPT Autoscale,,
detach-policy-khoi-group,FPT Autoscale,,
tutorials-xoa-may-ao,Cloud Server,,
create-card-NIC-%20Primary,Cloud Server,,
add-card-NIC-%20new,Cloud Server,,
Qu%E1%BA%A3n%20l%C3%BD%20Subnets,Cloud Server,,
S%E1%BB%AD%20d%E1%BB%A5ng%20File%20Storage%20-%20High%20Performance%20tr%C3%AAn%20Kubernetes%20(K8S%20Cluster),File Storage - High Performance,,
common-config,VPN Site-to-Site,,
Initial%20Setup,Load Balancer,,
quan-ly-load-balancer,Load Balancer,,
quan-ly-listener,Load Balancer,,
quan-ly-server-pool,Load Balancer,,
manage-load-balancer,Load Balancer,,
khoi%20tao%20mot%20load%20balancer%20moi,Load Balancer,,
them%20may%20ao%20vao%20load%20balancer,Load Balancer,,
xoa%20may%20ao%20khoi%20load%20balancer,Load Balancer,,
thay%20doi%20thong%20tin%20cau%20hinh%20load%20balancer,Load Balancer,,
xoa%20load%20balancer,Load Balancer,,
ssl-load-balancer,Load Balancer,,
tao%20import%20ssl%20certificate,Load Balancer,,
xem%20thong%20tin%20chi%20tiet%20ssl%20certificate,Load Balancer,,
khoi-ta%CC%A3o-kubernetes-cluster-moi,Managed - FPT Kubernetes Engine,,
snapshot-v%C3%A0-restore-pvc-tr%C3%AAn-k8s-fpt,Managed - FPT Kubernetes Engine,,
xem%20danh%20sach%20role,IAM,,
khoi%20tao%20role%20va%20phan%20quyen%20cho%20role,IAM,,
xem%20chi%20tiet%20role,IAM,,
chinh%20sua%20role%20va%20permission,IAM,,
xoa%20role,IAM,,
User%20Group-Overview,IAM,,
khoi%20tao%20user%20group%20moi,IAM,,
xem%20danh%20sach%20user%20group,IAM,,
xem%20chi%20tiet%20user%20group,IAM,,
chinh%20sua%20user%20group,IAM,,
xoa%20user%20groups,IAM,,
iam-user-management,IAM,,
invite%20iam%20user%20moi,IAM,,
khoi%20tao%20account%20va%20truy%20cap%20vao%20vpc%20da%20duoc%20moi,IAM,,
thay%20doi%20mat%20khau,IAM,,
cau%20hinh%202fa,IAM,,
create-ip-,IAM,,
system-status,FPT Cloud WAPPLES,,
export-list,FPT Cloud WAPPLES,,
web-access-management,FPT Cloud WAPPLES,,
detection-exceptions,FPT Cloud WAPPLES,,
error-handling,FPT Cloud WAPPLES,,
snort,FPT Cloud WAPPLES,,
report-generation,FPT Cloud WAPPLES,,
report-list,FPT Cloud WAPPLES,,
accounts,FPT Cloud WAPPLES,,
audit-level,FPT Cloud WAPPLES,,
smtp,FPT Cloud WAPPLES,,
backup-list,FPT Cloud WAPPLES,,
automatic-backup,FPT Cloud WAPPLES,,
them-moi-may-chu-waf,FPT Cloud WAF,,
dang-nhap-waf-dashboard,FPT Cloud WAF,,
add-data-tab,FPT Cloud Monitoring,,
user-guide-tab,FPT Cloud Monitoring,,
Chi%20ti%E1%BA%BFt%20d%E1%BB%8Bch%20v%E1%BB%A5,FPT Backup As a Service,,
tutorials-xem-va-cap-nhat-gia-tri-secret,FPT Key Vault,,
edit-capabilities,FPT ArgoCD,,
change-password,FPT ArgoCD,,
Kh%E1%BB%9Fi%20t%E1%BA%A1o%20Bugdet%20Alert,Budget Alert,,
Xem%20th%C3%B4ng%20tin%20cost%20v%C3%A0%20l%E1%BB%8Bch%20s%E1%BB%AD%20c%E1%BA%A3nh%20b%C3%A1o,Budget Alert,,
T%E1%BA%A1m%20d%E1%BB%ABng%20c%E1%BA%A3nh%20b%C3%A1o%20c%E1%BB%A7a%201%20Budget%20Alert,Budget Alert,,
Ch%E1%BB%89nh%20s%E1%BB%ADa%20Budget%20Alert,Budget Alert,,
X%C3%B3a%20Budget%20Alert,Budget Alert,,
C%C3%A0i%20%C4%91%E1%BA%B7t%20ng%C4%83n%20ch%E1%BA%B7n%20t%E1%BA%A1o%20resource%20Compute/Network%20m%E1%BB%9Bi%20khi%20%C4%91%C3%A3%20%C4%91%E1%BA%A1t%20ng%C6%B0%E1%BB%A1ng%20ng%C3%A2n%20s%C3%A1ch,Budget Alert,,
