slug,module,localFile,severity,web_adj,doc_words,gap_pct,aggregated,agg_files
quan-ly-security-group,Cloud Server,cloud-server/quan-ly-security-group.md,HIGH,1072,97,91%,,
Initial-Setup,Cloud Server,cloud-guard/Initial-Setup.md,HIGH,1015,139,86%,,
dich-vu-gpu-tren-k8s,Managed - FPT Kubernetes Engine,managed-fpt-kubernetes-engine/dich-vu-gpu-tren-k8s.md,HIGH,971,139,86%,,
cicd-guideline,FPT AppSec,fpt-appsec/cicd-guideline.md,HIGH,2290,387,83%,,
security-group-filter,Cloud Server,cloud-server/security-group-filter.md,HIGH,420,75,82%,,
schedule-overview,Cloud Server,cloud-server/schedule-overview.md,HIGH,175,32,82%,,
enable-disable-admin-user,FPT ArgoCD,fpt-argocd/enable-disable-admin-user.md,HIGH,175,32,82%,,
hpc-quick-start,Cloud Server,cloud-server/hpc-quick-start.md,HIGH,606,113,81%,,
instance-schedule,Cloud Server,cloud-server/instance-schedule.md,HIGH,173,35,80%,,
security-group-priority-rule,Cloud Server,cloud-server/security-group-priority-rule.md,HIGH,432,89,79%,,
new-quota,Cloud Server,cloud-server/new-quota.md,HIGH,379,84,78%,,
SDK-API-Reference,FPT Object Storage,fpt-object-storage/SDK-API-Reference.md,HIGH,1834,432,76%,,
networking-overview,Cloud Server,cloud-server/networking-overview.md,HIGH,263,66,75%,,
header-project,Cloud Server,cloud-server/header-project.md,HIGH,191,47,75%,,
FAQ,Fortigate - FPT NGFW,ai_marketplace/FAQ.md,HIGH,533,135,75%,,
thuc-hien-cau-hinh-webhook-voi-webhook-secret-da-duoc-tao,FPT ArgoCD,fpt-argocd/thuc-hien-cau-hinh-webhook-voi-webhook-secret-da-duoc-tao.md,HIGH,89,22,75%,,
quan-ly-project,Cloud Server,cloud-server/quan-ly-project.md,HIGH,171,47,73%,,
NIC-overview-1,Cloud Server,cloud-server/NIC-overview-1.md,HIGH,256,72,72%,,
enable-disable-anonymous-user,FPT ArgoCD,fpt-argocd/enable-disable-anonymous-user.md,HIGH,150,42,72%,,
cau-hinh-channel-de-thuc-hien-gui-thong-bao,FPT ArgoCD,fpt-argocd/cau-hinh-channel-de-thuc-hien-gui-thong-bao.md,HIGH,386,110,72%,,
tutorials-khoi-tao-mot-may-ao-moi,Cloud Server,cloud-server/tutorials-khoi-tao-mot-may-ao-moi.md,HIGH,902,261,71%,,
quan-ly-floating-ip,Cloud Server,cloud-server/quan-ly-floating-ip.md,HIGH,653,187,71%,,
cau-hinh-oidc-config,FPT ArgoCD,fpt-argocd/cau-hinh-oidc-config.md,HIGH,111,32,71%,,
create-instance-group,Cloud Server,affinity-anti-affinity/create-instance-group.md,HIGH,304,91,70%,,
cluster-autoscale,Managed - FPT Kubernetes Engine,managed-fpt-kubernetes-engine/cluster-autoscale.md,HIGH,361,110,70%,,
network-all,Cloud Server,cloud-server/network-all.md,HIGH,265,83,69%,,
instance-group,Cloud Server,cloud-server/instance-group.md,HIGH,163,50,69%,,
service-type-load-balancer,Managed - FPT Kubernetes Engine,dedicated-fpt-kubernetes-engine/service-type-load-balancer.md,HIGH,721,227,69%,,
kiem-tra-trang-thai-cua-alert,FPT Cloud Guard,cloud-guard/kiem-tra-trang-thai-cua-alert.md,HIGH,146,47,68%,,
