type,match_level,section,docId,title,present_in,missing_in,source_lang,bytes,match_lang,match_docId,match_score
HIGH_MATCH,HIGH_MATCH,create-vpc,"create-vpc-en","Create a VPC",en,vi+ja,en,1321,vi,"create-vpc",69
LOW_MATCH,LOW_MATCH,create-vpc,"view-activity-en","Xem Activity log và trạng thái tác vụ",en+vi,ja,vi,575,ja,"アクティビティログ＆直近タスクステータスの記録_3",38
HIGH_MATCH,HIGH_MATCH,dedicated-fpt-kubernetes-engine,"access-clusters-detail-information","クラスターの詳細情報へのアクセス",en+ja,vi,ja,2430,vi,"truy-cap-thong-tin-chi-tiet-cua-cluster",67
HIGH_MATCH,HIGH_MATCH,dedicated-fpt-kubernetes-engine,"add-nfs-storage","NFS Persistent Storage の追加",en+ja,vi,ja,882,vi,"them-nfs-persistent-storage",67
HIGH_MATCH,HIGH_MATCH,dedicated-fpt-kubernetes-engine,"advanced-firewall","DFKE Advanced Firewall",en+ja,vi,ja,3465,vi,"dfke-advanced-firewall",66
MEDIUM_MATCH,MEDIUM_MATCH,dedicated-fpt-kubernetes-engine,"auto-scale","Autoscale",en+ja,vi,ja,2047,vi,"AutoScale",44
HIGH_MATCH,HIGH_MATCH,dedicated-fpt-kubernetes-engine,"backup-restore-cluster","Cluster のバックアップとリストア",en+ja,vi,ja,989,vi,"backup-and-restore-cluster",68
HIGH_MATCH,HIGH_MATCH,dedicated-fpt-kubernetes-engine,"change-nfs-server-configuration","NFS Server のフレーバー（構成）の変更",en+ja,vi,ja,909,vi,"thay-doi-flavor-cau-hinh-nfs",67
HIGH_MATCH,HIGH_MATCH,dedicated-fpt-kubernetes-engine,"change-nodes-configuration","Nodes のフレーバー（構成）の変更",en+ja,vi,ja,935,vi,"thay-doi-flavor-cau-hinh-nodes",67
HIGH_MATCH,HIGH_MATCH,dedicated-fpt-kubernetes-engine,"delete-k8s-cluster","Kubernetes クラスターの削除",en+ja,vi,ja,752,vi,"xoa-kubernetes-cluster",67
