type,lang,file,title,detail,suggestion
WRONG_LANG_CONTENT,en,"cost-explorer/質問-1.md","質問 1","EN file has 62% Japanese body content","Delete and recreate from correct source"
WRONG_LANG_CONTENT,en,"dedicated-fpt-kubernetes-engine/AutoScale.md","AutoScale","EN file has 35% Japanese body content","Delete and recreate from correct source"
WRONG_LANG_CONTENT,en,"dedicated-fpt-kubernetes-engine/Initial-Setup.md","Initial Setup","EN file has 38% Japanese body content","Delete and recreate from correct source"
WRONG_LANG_CONTENT,en,"dedicated-fpt-kubernetes-engine/fke-usage-notes.md","Fke Usage Notes","EN file has 58% Japanese body content","Delete and recreate from correct source"
WRONG_LANG_TITLE,en,"managed-fpt-kubernetes-engine/snapshot-và-restore-pvc-trên-k8s-fpt.md","Snapshot Và Restore Pvc TrêN K8s Fpt","EN file has Vietnamese title","Fix title or regenerate from correct source"
WRONG_LANG_CONTENT,en,"model-fine-tuning/create-pipeline.md","Create Pipeline","EN file has 48% Japanese body content","Delete and recreate from correct source"
WRONG_LANG_CONTENT,en,"model-fine-tuning/faqs.md","Faqs","EN file has 72% Japanese body content","Delete and recreate from correct source"
WRONG_LANG_CONTENT,en,"model-fine-tuning/initial-setup.md","Initial Setup","EN file has 39% Japanese body content","Delete and recreate from correct source"
WRONG_LANG_CONTENT,en,"model-fine-tuning/key-features.md","Key Features","EN file has 84% Japanese body content","Delete and recreate from correct source"
WRONG_LANG_CONTENT,en,"model-fine-tuning/manage-pipeline.md","Manage Pipeline","EN file has 42% Japanese body content","Delete and recreate from correct source"
WRONG_LANG_CONTENT,en,"model-fine-tuning/set-hyperparameters.md","Set Hyperparameters","EN file has 39% Japanese body content","Delete and recreate from correct source"
WRONG_LANG_CONTENT,en,"model-fine-tuning/training-configuration.md","Training Configuration","EN file has 57% Japanese body content","Delete and recreate from correct source"
WRONG_LANG_CONTENT,en,"model-fine-tuning/view-execution-history.md","View Execution History","EN file has 61% Japanese body content","Delete and recreate from correct source"
WRONG_LANG_CONTENT,vi,"cost-explorer/質問-1.md","質問 1","VI file has 62% Japanese body content","Delete and recreate from correct source"
WRONG_LANG_CONTENT,vi,"fpt-container-registry/retention-rule.md","Retention Rule","VI file has 37% Japanese body content","Delete and recreate from correct source"
WRONG_LANG_CONTENT,vi,"managed-fpt-kubernetes-engine/khoi-tao-kubernetes-cluster-moi.md","Khoi Tao Kubernetes Cluster Moi","VI file has 49% Japanese body content","Delete and recreate from correct source"
WRONG_LANG_CONTENT,vi,"model-fine-tuning/create-pipeline.md","Create Pipeline","VI file has 48% Japanese body content","Delete and recreate from correct source"
WRONG_LANG_CONTENT,vi,"model-fine-tuning/faqs.md","Faqs","VI file has 72% Japanese body content","Delete and recreate from correct source"
WRONG_LANG_CONTENT,vi,"model-fine-tuning/initial-setup.md","Initial Setup","VI file has 39% Japanese body content","Delete and recreate from correct source"
WRONG_LANG_CONTENT,vi,"model-fine-tuning/key-features.md","Key Features","VI file has 84% Japanese body content","Delete and recreate from correct source"
WRONG_LANG_CONTENT,vi,"model-fine-tuning/manage-pipeline.md","Manage Pipeline","VI file has 42% Japanese body content","Delete and recreate from correct source"
WRONG_LANG_CONTENT,vi,"model-fine-tuning/set-hyperparameters.md","Set Hyperparameters","VI file has 39% Japanese body content","Delete and recreate from correct source"
WRONG_LANG_CONTENT,vi,"model-fine-tuning/training-configuration.md","Training Configuration","VI file has 57% Japanese body content","Delete and recreate from correct source"
WRONG_LANG_CONTENT,vi,"model-fine-tuning/view-execution-history.md","View Execution History","VI file has 61% Japanese body content","Delete and recreate from correct source"
WRONG_LANG_CONTENT,ja,"cost-explorer/question-1.md","Question 1","JA file has Vietnamese body content (107 VI chars)","Delete and recreate from correct source"
WRONG_LANG_CONTENT,ja,"create-vpc/initial-setup.md","Initial Setup","JA file has Vietnamese body content (100 VI chars)","Delete and recreate from correct source"
WRONG_LANG_CONTENT,ja,"fpt-argocd/huong-dan-dang-nhap-vao-argocd.md","Huong Dan Dang Nhap Vao Argocd","JA file has Vietnamese body content (34 VI chars)","Delete and recreate from correct source"
WRONG_LANG_CONTENT,ja,"fpt-message-bus/fpt-message-bus-for-rabbitmq.md","Fpt Message Bus For Rabbitmq","JA file has Vietnamese body content (71 VI chars)","Delete and recreate from correct source"
WRONG_LANG_CONTENT,ja,"fpt-object-storage/SDK-API-Reference.md","SDK API Reference","JA file has Vietnamese body content (632 VI chars)","Delete and recreate from correct source"
WRONG_LANG_CONTENT,ja,"fpt-object-storage/phan-quyen-su-dung-bucket-cho-cac-subuser.md","Phan Quyen Su Dung Bucket Cho Cac Subuser","JA file has Vietnamese body content (215 VI chars)","Delete and recreate from correct source"
WRONG_LANG_CONTENT,ja,"fpt-object-storage/tutorials-encryption.md","Tutorials Encryption","JA file has Vietnamese body content (322 VI chars)","Delete and recreate from correct source"
WRONG_LANG_CONTENT,ja,"fpt-object-storage/tutorials-quan-ly-access-key-cua-object-storage-tren-fpt-portal.md","Tutorials Quan Ly Access Key Cua Object Storage Tren Fpt Portal","JA file has Vietnamese body content (274 VI chars)","Delete and recreate from correct source"
WRONG_LANG_CONTENT,ja,"fpt-object-storage/tutorials-quan-ly-subuser.md","Tutorials Quan Ly Subuser","JA file has Vietnamese body content (295 VI chars)","Delete and recreate from correct source"
